Window Size,Stride,Mean Macro F1,Std
"(15, 90)",5,0.49787093784310527,0.09467155148093247
"(15, 120)",5,0.4967110551050632,0.09909789060457536
"(10, 120)",15,0.48850227387044975,0.11451219565435451
"(10, 60)",15,0.4847431722017503,0.09721675612749073
"(10, 90)",2,0.47792979435984806,0.11061629250205038
"(20, 60)",1,0.4762424483031137,0.09696768067287151
"(20, 90)",2,0.4755700011844125,0.10178418472984051
"(20, 120)",10,0.47515195284881856,0.12341094033980807
"(15, 120)",10,0.4747974347846337,0.1154233903117179
"(20, 60)",2,0.47457603732663967,0.10834641617938973
"(15, 90)",2,0.4733380156880721,0.10342449399728575
"(20, 120)",5,0.4730554040495929,0.12625171648468486
"(15, 60)",1,0.4721161914525213,0.09474045051187696
"(15, 120)",15,0.4715781625350332,0.11377242821341162
"(10, 90)",1,0.4696920608501856,0.11135546214681911
"(10, 60)",1,0.4689632679799265,0.10656161746440995
"(20, 120)",1,0.46745192807432867,0.11643868506963408
"(10, 120)",10,0.46723299106394645,0.12693700920839995
"(10, 90)",5,0.46703393361557466,0.11321920879727701
"(20, 60)",5,0.46692086376266806,0.11348720010585571
"(20, 120)",15,0.4664565398766335,0.10861059463510912
"(10, 60)",5,0.46631034176840896,0.12087729084805283
"(15, 120)",2,0.46558486999885673,0.11704966828611939
"(15, 90)",10,0.46412523523631805,0.1067476205571675
"(10, 120)",1,0.4639594278060815,0.12172221258918839
"(10, 120)",5,0.46387052225525516,0.1259954196628577
"(20, 90)",10,0.46381904015132874,0.0911668265592895
"(20, 60)",10,0.4613213538347255,0.11690295705560243
"(15, 60)",5,0.4612319322269221,0.1296598548249792
"(20, 90)",5,0.46024465004072374,0.12493925279900384
"(10, 60)",10,0.4599239687871497,0.12039673075366818
"(10, 120)",2,0.45906321874336753,0.11829201662441995
"(20, 120)",2,0.4589734364605022,0.12807106050466677
"(10, 90)",10,0.4580005336390531,0.11322290420666555
"(15, 60)",15,0.45648239566265847,0.13028415068312843
"(15, 90)",15,0.45644411566082727,0.11485802225188298
"(20, 60)",15,0.4560325966502321,0.12830630222229086
"(20, 90)",15,0.4557595385689866,0.12366375546823463
"(15, 60)",2,0.4554248086367864,0.11250130550886456
"(10, 90)",15,0.45522292255061636,0.12756068397502823
"(15, 120)",1,0.45462001386230594,0.126551612900805
"(20, 90)",1,0.45282939707219594,0.13940678088586253
"(15, 60)",10,0.45066990330210144,0.12303972375454737
"(15, 90)",1,0.44968838970684133,0.13141153854579407
"(10, 60)",2,0.43273709937740557,0.12028103241907874
